Job, Head, Trso, Hand, Legs, Foot,VHead,VTrso,VHand,VLegs,VFoot
WAR,     ,   10,    1,     ,     ,     ,   11,    2,    7,     
MNK,    2,   12,     ,    2,    4,    1,   12,    2,    4,    3
WHM,    2,   13,     ,    1,    1,    2,   12,     ,     ,    3
BLM,    3,   12,    1,    1,    3,    1,   12,    3,    2,    1
RDM,     ,   11,     ,     ,    1,     ,   11,    1,    1,     
THF,    4,   12,    1,    5,     ,     ,   12,     ,     ,    2
PLD,    3,   12,    2,     ,    2,     ,   12,     ,    3,    1
DRK,     ,   12,     ,     ,     ,     ,    9,     ,     ,     
BST,    2,   12,    2,    1,    2,    6,   12,     ,     ,     
BRD,    2,   12,    1,    1,    1,     ,   12,    1,     ,     
RNG,    1,   12,    1,    2,    4,    5,   12,    1,     ,     
SAM,     ,    9,     ,    1,     ,     ,    1,     ,    4,     
NIN,    2,   12,    2,    4,    6,    3,   12,    1,    1,    3
DRG,    8,   12,    3,    1,    3,    4,   12,    2,    1,    4
SMN,    3,   12,     ,    1,    4,    2,   12,    1,    2,    2
BLU,    3,   12,     ,     ,    1,    3,    9,    1,     ,     
COR,     ,   12,     ,    2,     ,     ,   10,     ,    1,     
PUP,    2,   12,    6,    4,    2,    5,   12,    3,    4,     
DNC,    5,   12,    6,    3,    3,     ,   12,    2,    3,    1
SCH,     ,   12,     ,     ,    1,     ,   12,     ,    1,     
GEO,    1,   12,     ,     ,    7,     ,   12,    1,    2,    2
RUN,    1,   12,    1,     ,     ,     ,   12,    1,    1,    1
